rowid,inspection_id,equipment_id,equipment_asset_unique_id,age_at_correction,date_of_reporting,date_of_averting,source_path,qmax_value,rep_rate,created_on,modified_on,brand_model,c_year,yom,contract
308,coaaokdcootlkhqqc7i0,STN/TESTSTATION-3/SWB/TESTBOARD-1/PNL/TESTPANEL-5,"",45,2024-04-09 02:46:35.559+00,2024-04-09 02:46:35.559+00,STN/TESTSTATION-3/SWB/TESTBOARD-1/PNL/TESTPANEL-5/SSR/TESTSENSOR-1/2024/4/9/20240409103833337375,5.775419999999999,61.4789914912461,2024-04-09 02:47:45.712928+00,2024-04-09 02:48:19.112507+00,Schneider WSA,0,1970,123
309,cp0o6vtcootpvqmbmco0,STN/TESTSTATION-4/SWB/TESTBOARD-1/PNL/TESTPANEL-1,"",0,2024-05-13 03:05:23.261+00,2024-05-13 03:05:23.261+00,STN/TESTSTATION-4/SWB/TESTBOARD-1/PNL/TESTPANEL-1/SSR/TESTSENSOR-1/2024/5/13/20240513100431469146,117.16184219591838,480.5,2024-05-13 03:05:35.104211+00,2024-05-16 01:46:03.112314+00,Schneider WSA,0,0,""
